,0,1
0,['Delaney on hardball When China stopped buying our soybeans Brazilian farmers started fires to clear land to grow soybeans TradeWar20190830 23555600000'],"{'neg': 0.081, 'neu': 0.809, 'pos': 0.111, 'compound': 0.1779}"
1,['Trump says great unity at G7 summit despite tensions over his trade war with China   politics worldnews20190830 23530000000'],"{'neg': 0.154, 'neu': 0.594, 'pos': 0.252, 'compound': 0.3523}"
2,['A strong dollar  less exports his trade war is actually helping the people hes making Americans fight Its like Russias Putin Trumps fight somehow always benefit the enemy20190830 23523200000'],"{'neg': 0.216, 'neu': 0.523, 'pos': 0.261, 'compound': 0.2263}"
3,['Maybe sell Puerto Rico to China will help trade war20190830 23493700000'],"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
4,['Its unlikely POTUS will back down anytime soon on the tradewar NLP analysis shows Congress is more supportive than conventional wisdom suggest 20190830 23430100001'],"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.7089}"
5,['Viva Commerce in Community TucsonStar USHCCFoundation CPLCdotORG wellness AP ImmigrationPolicy CEO2019 communitydevelopment usmexicoborder trade TradeWar  pictwittercom34rBch9op720190830 23424900000'],"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}"
6,['Small businesses have lost confidence in their abilities to expand because of the trade war according to this expert Heres how they are preparing for the next round of tariffs  pictwittercom3vDAVS1wjg20190830 23400000006'],"{'neg': 0.152, 'neu': 0.662, 'pos': 0.186, 'compound': 0.1027}"
7,['Since 2018 the trade war has proceeded in four stages The first six months of 2018 featured only a moderate increase in tariffs but now as we approach the end of 2019 the upcoming tariff changes are large and swift PIIEChartspictwittercomeTax2YETPd20190830 233901000034'],"{'neg': 0.055, 'neu': 0.858, 'pos': 0.087, 'compound': 0.1027}"
8,['I thought the whole idea of the easy to win trade war was to bring manufacturing back to the US I guess realDonaldTrump lied about that too 20190830 23375700000'],"{'neg': 0.175, 'neu': 0.645, 'pos': 0.18, 'compound': 0.0516}"
9,['We have been striking that hammer for over a year Of course it hurts China But what it has accomplished is what you would expect it to accomplish when you start a trade war unilaterally it has made them sign deals elsewhere The Russian soybean deal for example20190830 23344000000'],"{'neg': 0.128, 'neu': 0.742, 'pos': 0.13, 'compound': 0.0387}"
10,['WSJ businessinsider CNNBusiness business nytimesbusiness HarvardBiz svbizjournal BW BBCWorld Newsweek TIME washingtonpost PolitiFact NYSE Nasdaq DowJones CharlesSchwab federalreserve No one wins a TradeWar realDonaldTrump GOP jackgothacked20190830 23261400000'],"{'neg': 0.074, 'neu': 0.803, 'pos': 0.124, 'compound': 0.3612}"
11,['ChinaUS trade talk teams keeping effective communication China TradeWar TradeTalks TradeDeals tariffs trade China 23231400000'],"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.4767}"
12,['On the other hand Putin absolutely does want the trade war to continue Before it Russias ecoeconomy was floundering Now with them sending China agriitems fillingin for US it is booming Putin likly sends his thanx toevery chance he gets Now we understand his smile20190830 23212800000'],"{'neg': 0.074, 'neu': 0.797, 'pos': 0.129, 'compound': 0.2212}"
13,['This is a stupid trade war Trump has sold the farmers out and Russia is winning How much longer will America cowtow to a man who has sold out their interests to Russia Trump McConnell Graham all being rewarded for their loyalty to Putin20190830 23154300000'],"{'neg': 0.129, 'neu': 0.656, 'pos': 0.215, 'compound': 0.5859}"
14,['who has become the richest super power Now we understand why a TradeWar with China is STUPID20190830 23150400000'],"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.8074}"
15,['This is brilliant Watch this interview Toymaker CEO If we move out of China Trump could just put a target on somebody elses back  TradeWar TrumpTradeWar20190830 23150000000'],"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.5859}"
16,['The answer is that the trade war is just a trick playing by trump and xi together meaning both of them will win trump reelected xi remaining his powerand stock market will soar in the end20190830 23115800000'],"{'neg': 0.119, 'neu': 0.749, 'pos': 0.131, 'compound': 0.128}"
17,['Despite all the economic turbulence in the world USChina trade war Brexit etc there is more encouraging news about Canada today Nothing is easy or taken for granted but there a good signs of fundamental strength  20190830 230510000021'],"{'neg': 0.088, 'neu': 0.657, 'pos': 0.254, 'compound': 0.8335}"
18,['China doesnt need to come to the table  Nobody wins in a trade war China will never lose face and trumps ego wont allow him to lose either The loser in the scenario created by our dictator in chief is the  farmers of produce and meats and ultimately the CONSUMER 20190830 23044400000'],"{'neg': 0.142, 'neu': 0.696, 'pos': 0.162, 'compound': 0.0644}"
19,['Cost per mile for trucking Several factors exacerbated it trade war inventory stocking strong demand fuel prices changes to labor but they all point to the same issue  growth and inflation boiling over20190830 23041000002'],"{'neg': 0.094, 'neu': 0.764, 'pos': 0.141, 'compound': 0.431}"
