Date,News_Senti,Volume,Stockname,Open_USD,High_USD,Low_USD,Close_USD,Adj_Close_USD,Stock_Difference,Twitter_Senti
2018-07-01,,,,,,,,,,0.354321505
2018-07-02,,17731300.0,AAPL,0.16408699220371525,0.16719341157626216,0.16372992389489402,0.16708628427323413,0.16346731557927038,0.007701918235294131,0.354321505
2018-07-03,-0.013257576,13954800.0,AAPL,0.16875594318355244,0.1688997291672441,0.16493671540693025,0.1652782036901513,0.16169839068324646,0.8120974099999998,0.354321505
2018-07-04,,,,,,,,,-0.09186393999999608,0.354321505
2018-07-05,,16604200.0,AAPL,0.16570486721060154,0.1667334870962538,0.16482831497744885,0.16583008895819476,0.1622383197928144,-0.2807108800000009,0.354321505
2018-07-06,,17485200.0,AAPL,0.1658273623510752,0.1685193020268864,0.16563060783428368,0.16810791614374054,0.1644667976348433,-0.9441602300000014,0.354321505
2018-07-07,,,,,,,,,,0.354321505
2018-07-08,,,,,,,,,,0.354321505
2018-07-09,,19756600.0,AAPL,0.17055115735792592,0.17161315797285134,0.17037115888304066,0.1715231656019104,0.16780808607014014,0.8846931100000006,0.354321505
2018-07-10,,15939100.0,AAPL,0.17069655354374622,0.17120672961050135,0.1702221601378102,0.17037433204882038,0.16668415637807107,0.4009157300000013,0.354321505
2018-07-11,,18831500.0,AAPL,0.1677483752568876,0.1688874612810672,0.16695635429352876,0.16719663428301276,0.16357525703545714,-0.5052512000000036,0.354321505
2018-07-12,,18041100.0,AAPL,0.16834339482591068,0.17001324343193785,0.1681479864335847,0.16967571738099554,0.16600064905865494,-0.5221588599999976,0.354321505
2018-07-13,0.07048425400000001,12513900.0,AAPL,0.16857956060612028,0.1692500626931924,0.1684207493321791,0.1688001220973683,0.16514400306141466,0.6106532000000016,0.354321505
2018-07-14,,,,,,,,,,0.354321505
2018-07-15,,,,,,,,,,0.354321505
2018-07-16,,15043100.0,AAPL,0.16992682807364826,0.1709294155229117,0.16895084361321486,0.16938560278893824,0.16571682724541134,-0.1664055299999987,0.354321505
