,created_at,text,retweet_count,favorite_count,lang,Amount Cleansed (%),Frequency
25,Wed Nov 06 05:44:53 +0000 2019,@SuperNES414 Don't give in to Apple. The only reason people like them is because they are already used to them and… ,0,1,en,90.6,"[('SuperNES414', 1), ('Don', 1), ('give', 1), ('Apple', 1), ('The', 1)]"
26,Wed Nov 06 05:44:49 +0000 2019,"RT @_asiLisa: LISA's 2019 so far: 

- Moonshot 
- Celine
- Samsung Galaxy S10
- AIS
- Ragnarok M
- Candy Crush (with Jisoo)
- Produce 101 D…",1237,0,en,86.4,"[('RT', 1), ('_asiLisa', 1), ('LISA', 1), ('2019', 1), ('far', 1)]"
27,Wed Nov 06 05:44:47 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",0,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
28,Wed Nov 06 05:44:43 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",4,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
29,Wed Nov 06 05:44:43 +0000 2019,Nooooo amigoo...!!! Ripeo ese Samsung,0,0,en,86.5,"[('Nooooo', 1), ('amigoo', 1), ('Ripeo', 1), ('ese', 1), ('Samsung', 1)]"
30,Wed Nov 06 05:44:42 +0000 2019,"RT @alison_iot: Samsung Galaxy Book Flex and Ion laptops first with QLED displays, wireless charging touchpads - CNET: #DeepLearning #IoT #…",2,0,en,87.9,"[('RT', 1), ('alison_iot', 1), ('Samsung', 1), ('Galaxy', 1), ('Book', 1)]"
31,Wed Nov 06 05:44:39 +0000 2019,RT @Hk3ToN: #Wallpapers  #Background #android #Samsung  #Google #abstractart #Abstract #walls #Free #MacBook #MacBookPro #iMac #MSI #ASUS…,1,0,en,88.4,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('Background', 1), ('android', 1)]"
32,Wed Nov 06 05:44:33 +0000 2019,"RT @bycottonpeach: [HELP RT]
ASTRO SIGNATURE PHONE CASE

RM25 WM
RM30 EM 
(price include postage)

Available for Iphone, Samsung, Vivo, Opp…",29,0,en,85.7,"[('RT', 2), ('bycottonpeach', 1), ('HELP', 1), ('ASTRO', 1), ('SIGNATURE', 1)]"
33,Wed Nov 06 05:44:28 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen #lockscreen #Background #android #Samsung #gradient #Google #walls #free #Pixel4

Private Disk N°#0005…",2,0,en,87.8,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('lockscreen', 1)]"
34,Wed Nov 06 05:44:22 +0000 2019,Samsung vice chairman meets AI gurus to discuss future ,0,0,en,85.9,"[('Samsung', 1), ('vice', 1), ('chairman', 1), ('meet', 1), ('AI', 1)]"
35,Wed Nov 06 05:44:20 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",1,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
36,Wed Nov 06 05:44:16 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",4,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
37,Wed Nov 06 05:44:08 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",2,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
38,Wed Nov 06 05:44:05 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",3,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
39,Wed Nov 06 05:44:02 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",7,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
40,Wed Nov 06 05:44:00 +0000 2019,me está tentando al A20 de Samsung,0,1,es,82.4,"[('está', 1), ('tentando', 1), ('al', 1), ('A20', 1), ('de', 1)]"
41,Wed Nov 06 05:43:59 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",0,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
42,Wed Nov 06 05:43:56 +0000 2019,Clicked on samsung by my friend..how lovely he captured the beauty of Fall in Windsor ❤ ,0,0,en,90.1,"[('Clicked', 1), ('samsung', 1), ('friend', 1), ('lovely', 1), ('capture', 1)]"
43,Wed Nov 06 05:43:55 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",2,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
44,Wed Nov 06 05:43:54 +0000 2019,"RT @_asiLisa: LISA's 2019 so far: 

- Moonshot 
- Celine
- Samsung Galaxy S10
- AIS
- Ragnarok M
- Candy Crush (with Jisoo)
- Produce 101 D…",1237,0,en,86.4,"[('RT', 1), ('_asiLisa', 1), ('LISA', 1), ('2019', 1), ('far', 1)]"
45,Wed Nov 06 05:43:52 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",2,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
46,Wed Nov 06 05:43:48 +0000 2019,"RT @bekanenzino: This is my official entry into the @SchweppesNG #TakeYourSchhhot  challenge.
Frame 1: schweppes in an unusual place.
Frame…",180,0,en,90.0,"[('Frame', 2), ('RT', 1), ('bekanenzino', 1), ('This', 1), ('official', 1)]"
47,Wed Nov 06 05:43:47 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",1,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
48,Wed Nov 06 05:43:47 +0000 2019,#homevideo #gaming Elegant Flip Leather Phone Cases for Samsung ,0,0,en,87.4,"[('homevideo', 1), ('game', 1), ('Elegant', 1), ('Flip', 1), ('Leather', 1)]"
49,Wed Nov 06 05:43:45 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Soon *

#galaxys9  #…",3,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
50,Wed Nov 06 05:43:44 +0000 2019,RT @girlhack: Cooool so my new @Samsung soundbar remote controls my @simplehuman soap dispenser. 🤔🤔🤔 ,60,0,en,88.7,"[('RT', 1), ('girlhack', 1), ('Cooool', 1), ('new', 1), ('Samsung', 1)]"
51,Wed Nov 06 05:43:42 +0000 2019,"RT @VenCRos: $XRP iPhone/ Samsung Case GIVEAWAY 
🚀

Winner announced in 48 hours

1. Follow @VenCRos
 
2. Retweet this tweet

Good Luck 😀😎😀…",5,0,en,86.4,"[('VenCRos', 2), ('RT', 1), ('XRP', 1), ('iPhone', 1), ('Samsung', 1)]"
52,Wed Nov 06 05:43:35 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

Abstract IOS13 Style
*…",2,0,en,88.6,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
53,Wed Nov 06 05:43:32 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

Abstract IOS13 Style
*…",6,0,en,88.6,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
54,Wed Nov 06 05:43:32 +0000 2019,"@ujjwal999  Hey there! Thanks for your time on call 👍. Like we spoke, have shared all the necessary info with you.… ",0,0,en,90.6,"[('ujjwal999', 1), ('Hey', 1), ('Thanks', 1), ('time', 1), ('call', 1)]"
55,Wed Nov 06 05:43:29 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Tomorow in Private *…",6,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
56,Wed Nov 06 05:43:26 +0000 2019,"@AfySuai Hai Afy, apakah sudah kamu konsultasikan dengan tim teknisi kami di Samsung Service Center terkait kendala… ",0,0,in,85.7,"[('AfySuai', 1), ('Hai', 1), ('Afy', 1), ('apakah', 1), ('sudah', 1)]"
57,Wed Nov 06 05:43:25 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Tomorow in Private *…",1,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
58,Wed Nov 06 05:43:22 +0000 2019,RT @Hk3ToN: #Wallpapers  #Background #android #Samsung  #Google #abstractart #Abstract #walls #Free #MacBook #MacBookPro #iMac #MSI #ASUS…,2,0,en,88.4,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('Background', 1), ('android', 1)]"
59,Wed Nov 06 05:43:19 +0000 2019,I got the new iPhone 11 &amp; I don’t like it. I’m returning it tomorrow &amp; keeping my old Samsung phone. why does iPhon… ,0,0,en,86.5,"[('I', 3), ('amp', 2), ('get', 1), ('new', 1), ('iPhone', 1)]"
60,Wed Nov 06 05:43:07 +0000 2019,RT @Hk3ToN: #Wallpapers  #Background #android #Samsung  #Google #abstractart #Abstract #walls #Free #MacBook #MacBookPro #iMac #MSI #ASUS…,1,0,en,88.4,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('Background', 1), ('android', 1)]"
61,Wed Nov 06 05:43:05 +0000 2019,"@DaveGroenland Leeftijd: 49
Operaties: 7
Tattoos: 1
In politieauto gezeten: ja
Op motor gereden: ja
Iemand zien ste… ",0,0,nl,85.0,"[('ja', 2), ('DaveGroenland', 1), ('Leeftijd', 1), ('49', 1), ('Operaties', 1)]"
62,Wed Nov 06 05:43:04 +0000 2019,"RT @WilbrosLive: [Announcement]
Jang Ki Yong — Merchandise
Exclusive. Order via Wilbros Live
Pick Up at Samsung Hall on Show Day

For order…",14,0,en,85.7,"[('RT', 1), ('WilbrosLive', 1), ('Announcement', 1), ('Jang', 1), ('Ki', 1)]"
63,Wed Nov 06 05:43:03 +0000 2019,"RT @YatagarasuOyaji: SAMSUNGに、開発製造する力なんてあるわけない。
SAMSUNGは、ただの組み立て工場だろ？
身の丈にあった事業をしろよ。 ",19,0,ja,90.7,"[('RT', 1), ('YatagarasuOyaji', 1), ('SAMSUNGに', 1), ('開発製造する力なんてあるわけない', 1), ('SAMSUNGは', 1)]"
64,Wed Nov 06 05:42:58 +0000 2019,@MischaMaxwell Is there a 'Move to Album' option? If not get a Samsung!! 🤭😋,0,0,en,89.3,"[('MischaMaxwell', 1), ('Is', 1), ('Move', 1), ('Album', 1), ('option', 1)]"
65,Wed Nov 06 05:42:53 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Tomorow in Private *…",5,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
66,Wed Nov 06 05:42:51 +0000 2019,"@SamsungIndia AR doodle

I ❤️ Samsung
Thanks Samsung team

#Powerof10
#GalaxyNote10
#SamsungGalaxyNote10… ",0,0,en,89.1,"[('Samsung', 2), ('SamsungIndia', 1), ('AR', 1), ('doodle', 1), ('I', 1)]"
67,Wed Nov 06 05:42:49 +0000 2019,"RT @Hk3ToN: #Wallpapers #homescreen  #Background #android #Samsung  #Google #walls #Free #iPhone11Pro #iPhone11 #4K

* Tomorow in Private *…",2,0,en,89.3,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('homescreen', 1), ('Background', 1)]"
68,Wed Nov 06 05:42:48 +0000 2019,"RT @_asiLisa: LISA's 2019 so far: 

- Moonshot 
- Celine
- Samsung Galaxy S10
- AIS
- Ragnarok M
- Candy Crush (with Jisoo)
- Produce 101 D…",1237,0,en,86.4,"[('RT', 1), ('_asiLisa', 1), ('LISA', 1), ('2019', 1), ('far', 1)]"
69,Wed Nov 06 05:42:46 +0000 2019,Magic Eyes Samsung Case Galaxy S7 S8 S9 S10 Link :  ,0,0,en,83.7,"[('https', 2), ('co', 2), ('Magic', 1), ('Eyes', 1), ('Samsung', 1)]"
70,Wed Nov 06 05:42:45 +0000 2019,"RT @_asiLisa: LISA's 2019 so far: 

- Moonshot 
- Celine
- Samsung Galaxy S10
- AIS
- Ragnarok M
- Candy Crush (with Jisoo)
- Produce 101 D…",1237,0,en,86.4,"[('RT', 1), ('_asiLisa', 1), ('LISA', 1), ('2019', 1), ('far', 1)]"
71,Wed Nov 06 05:42:42 +0000 2019,"RT @_asiLisa: LISA's 2019 so far: 

- Moonshot 
- Celine
- Samsung Galaxy S10
- AIS
- Ragnarok M
- Candy Crush (with Jisoo)
- Produce 101 D…",1237,0,en,86.4,"[('RT', 1), ('_asiLisa', 1), ('LISA', 1), ('2019', 1), ('far', 1)]"
72,Wed Nov 06 05:42:39 +0000 2019,@boink @LiveSmart Nakalimutan kong balikan yung inquiry mo. Locked to the same network yung sim and esim 😑 I tried… ,0,0,tl,87.1,"[('yung', 2), ('boink', 1), ('LiveSmart', 1), ('Nakalimutan', 1), ('kong', 1)]"
73,Wed Nov 06 05:42:37 +0000 2019,RT @Hk3ToN: #Wallpapers  #Background #android #Samsung  #Google #abstractart #Abstract #walls #Free #MacBook #MacBookPro #iMac #MSI #ASUS…,0,0,en,88.4,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('Background', 1), ('android', 1)]"
74,Wed Nov 06 05:42:31 +0000 2019,RT @SamsungIndia: @vijaykrish2218 You've just unlocked the power of creativity! Now shoot epic pictures and videos and edit on-the-go with…,1,0,en,89.9,"[('RT', 1), ('SamsungIndia', 1), ('vijaykrish2218', 1), ('You', 1), ('unlock', 1)]"
75,Wed Nov 06 05:42:24 +0000 2019,RT @Hk3ToN: #Wallpapers  #Background #android #Samsung  #Google #abstractart #Abstract #walls #Free #MacBook #MacBookPro #iMac #MSI #ASUS…,0,0,en,88.4,"[('RT', 1), ('Hk3ToN', 1), ('Wallpapers', 1), ('Background', 1), ('android', 1)]"
76,Wed Nov 06 05:42:09 +0000 2019,"New video!!!!! 
Watch it here now  🐶😘😉 ⬇️⬇️


#dld22 #daniellovesdogs22 #kinztube #kinztuber… ",0,0,en,90.7,"[('https', 2), ('co', 2), ('New', 1), ('video', 1), ('Watch', 1)]"
77,Wed Nov 06 05:42:07 +0000 2019,"RT @_asiLisa: LISA's 2019 so far: 

- Moonshot 
- Celine
- Samsung Galaxy S10
- AIS
- Ragnarok M
- Candy Crush (with Jisoo)
- Produce 101 D…",1237,0,en,86.4,"[('RT', 1), ('_asiLisa', 1), ('LISA', 1), ('2019', 1), ('far', 1)]"
78,Wed Nov 06 05:42:00 +0000 2019,"RT @thezdi: Success! It took two attempts, but the @fluoroacetate duo were able to demonstrate their exploit of the #Samsung Q60 television…",3,0,en,89.3,"[('RT', 1), ('thezdi', 1), ('Success', 1), ('It', 1), ('take', 1)]"
79,Wed Nov 06 05:41:53 +0000 2019,"RT @MahmoonBaba: PLEASE DON’T SKIP WITHOUT RETWEETING
Product:Samsung galaxy S9+ 
Condition:Brand New
Capacity:64GIG Dual sim 
Shop live or…",29,0,en,85.0,"[('RT', 1), ('MahmoonBaba', 1), ('PLEASE', 1), ('DON', 1), ('T', 1)]"
80,Wed Nov 06 05:41:44 +0000 2019,"7位　iPhone 11 Pro 256GB(SoftBank)（アップル）
8位　AQUOS sense3 SHV45（シャープ）
9位　iPhone 11 Pro 256GB(au)（アップル）
10位 Galaxy A20… ",0,1,ja,82.0,"[('iPhone', 2), ('11', 2), ('Pro', 2), ('256GB', 2), ('アップル', 2)]"
81,Wed Nov 06 05:41:37 +0000 2019,"RT @Motionwallit: Eiffel
Download it for free in the site!

Go to 
•
• 
Wall by @fresk0_ 
#iphone #mac #ipad #minima…",7,0,en,88.6,"[('RT', 1), ('Motionwallit', 1), ('Eiffel', 1), ('Download', 1), ('free', 1)]"
82,Wed Nov 06 05:41:34 +0000 2019,RT @thezdi: Confirmed! @fluoroacetate used an integer overflow in #javascript to get a reverse shell from the #Samsung Q60. They earned ano…,3,0,en,88.6,"[('RT', 1), ('thezdi', 1), ('Confirmed', 1), ('fluoroacetate', 1), ('use', 1)]"
83,Wed Nov 06 05:41:26 +0000 2019,"SAMSUNG ABANDONS ITS CUSTOM 'MONGOOSE' CPU CORE DIVISION IN THE US

 #Samsung #SAMSUNGARM #SamsungExynos… ",0,0,en,86.8,"[('SAMSUNG', 1), ('ABANDONS', 1), ('ITS', 1), ('CUSTOM', 1), ('MONGOOSE', 1)]"
84,Wed Nov 06 05:41:25 +0000 2019,@SamsungIndia Plz giveaway Samsung phone,0,0,en,87.5,"[('SamsungIndia', 1), ('Plz', 1), ('giveaway', 1), ('Samsung', 1), ('phone', 1)]"
85,Wed Nov 06 05:41:25 +0000 2019,RT @verge: Xiaomi’s first 108-megapixel cameraphone is here  ,16,0,en,87.9,"[('https', 2), ('co', 2), ('RT', 1), ('verge', 1), ('Xiaomi', 1)]"
86,Wed Nov 06 05:41:24 +0000 2019,"CYCBT EBike Battery 36V 10.4AH Lithium ion Battery, Fits for Prophete Samsung SDI,with Charger,Electric Bike Batter… ",0,0,en,85.7,"[('Battery', 2), ('CYCBT', 1), ('EBike', 1), ('36V', 1), ('10', 1)]"
87,Wed Nov 06 05:41:22 +0000 2019,"RT @_asiLisa: LISA's 2019 so far: 

- Moonshot 
- Celine
- Samsung Galaxy S10
- AIS
- Ragnarok M
- Candy Crush (with Jisoo)
- Produce 101 D…",1237,0,en,86.4,"[('RT', 1), ('_asiLisa', 1), ('LISA', 1), ('2019', 1), ('far', 1)]"
88,Wed Nov 06 05:41:20 +0000 2019,"RT @_asiLisa: LISA's 2019 so far: 

- Moonshot 
- Celine
- Samsung Galaxy S10
- AIS
- Ragnarok M
- Candy Crush (with Jisoo)
- Produce 101 D…",1237,0,en,86.4,"[('RT', 1), ('_asiLisa', 1), ('LISA', 1), ('2019', 1), ('far', 1)]"
89,Wed Nov 06 05:41:14 +0000 2019,RT @crescenttt___: Betul. My friend dpd pakai samsung yg biasa boleh tukar ke iphone X guna duit dia sendiri ,4,0,in,83.3,"[('RT', 1), ('crescenttt___', 1), ('Betul', 1), ('My', 1), ('friend', 1)]"
90,Wed Nov 06 05:41:11 +0000 2019,"CYCBT EBike Battery 36V 10.4AH Lithium ion Battery, Fits for Prophete Samsung SDI,with Charger,Electric Bike Batter… ",0,0,en,85.7,"[('Battery', 2), ('CYCBT', 1), ('EBike', 1), ('36V', 1), ('10', 1)]"
91,Wed Nov 06 05:41:06 +0000 2019,@MikeNerdUK @samsung_dev @TronWalletMe @BeatzCoin @SesameseedOrg @justinsuntron @ethereum @VitalikButerin nice #JTS,0,0,en,91.3,"[('MikeNerdUK', 1), ('samsung_dev', 1), ('TronWalletMe', 1), ('BeatzCoin', 1), ('SesameseedOrg', 1)]"
92,Wed Nov 06 05:41:05 +0000 2019,"@BeerMeKenny 
Do you know good spoofing app for Android. I am a working Mom and I work till 5.I used fgl pro on an… ",0,0,en,84.9,"[('I', 3), ('work', 2), ('BeerMeKenny', 1), ('Do', 1), ('know', 1)]"
93,Wed Nov 06 05:40:55 +0000 2019,"RT @RicKY_KCh: Blak-Blakan Bos Samsung: Ekonomi RI Memang Sedang Sulit
Kondisi ekonomi Indonesia belakangan selama 3 tahun walaupun di atas…",7,0,in,85.0,"[('RT', 1), ('RicKY_KCh', 1), ('Blak', 1), ('Blakan', 1), ('Bos', 1)]"
